0.666667	-0.166667	0	0	0	0	0	0	-0.166667	0	0	0	0
-0.166667	1.33333	-0.166667	0	0	0	0	0	-0.333333	0	0	0	0
0	-0.166667	1.33333	-0.166667	0	0	0	0	0	0	0	0	0
0	0	-0.166667	1.33333	-0.166667	0	0	0	0	0	0	0	-0.333333
0	0	0	-0.166667	0.666667	0	0	0	0	0	0	0	-0.166667
0	0	0	0	0	1.91667	-0.166667	0	0	0	0	0	0
0	0	0	0	0	-0.166667	1.33333	-0.166667	0	0	0	0	0
0	0	0	0	0	0	-0.166667	1.33333	-0.166667	0	0	0	0
-0.166667	-0.333333	0	0	0	0	0	-0.166667	1.33333	0	0	0	0
0	0	0	0	0	0	0	0	0	1.91667	-0.166667	0	0
0	0	0	0	0	0	0	0	0	-0.166667	1.33333	-0.166667	0
0	0	0	0	0	0	0	0	0	0	-0.166667	1.33333	-0.166667
0	0	0	-0.333333	-0.166667	0	0	0	0	0	0	-0.166667	1.33333
