0	0	0	0	0	-0.166667	-0.333333	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	-0.166667	-0.333333	0	0
0	0	0	0	0	-0.333333	-0.333333	-0.333333	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	-0.333333	-0.333333	-0.333333	0
0	0	0	0	0	0	-0.333333	-0.333333	-0.333333	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	-0.333333	-0.333333	-0.333333
-0.333333	-0.333333	-0.333333	0	0	0	0	-0.333333	-0.333333	0	0	0	0
0	-0.333333	-0.333333	-0.333333	0	0	0	0	0	0	0	0	0
0	0	-0.333333	-0.333333	-0.333333	0	0	0	0	0	0	-0.333333	-0.333333
