   2.4061e+02   4.0663e+01        0e+00
   1.8969e+02   9.0302e+01        0e+00
   1.6226e+02  -6.1732e+01        0e+00
   1.3449e+02   1.5738e+01        0e+00
   7.3235e+01   2.9936e+00        0e+00
   6.7470e+01   8.4797e+00        0e+00
   6.0348e+01  -5.8769e+00        0e+00
   4.1042e+01   7.0011e-01        0e+00
   1.1709e+02   3.6274e+00        0e+00
   1.1115e+02  -4.7560e-02        0e+00
   1.1655e+02   1.4128e+01        0e+00
   1.0771e+02   1.2085e+01        0e+00
  -1.2987e+02  -4.0609e+02        0e+00
   3.7601e+01  -5.4629e+00        0e+00
   2.7693e+01  -3.6547e+00        0e+00
   7.4299e+01   1.3070e+01        0e+00
