293.245	-45.2865	-66.0433	23.1021	51.4982	74.8064	-28.1652	-111.1	-20.9169	0	0	0	0	0
-45.2865	211.282	28.5966	-6.30023	-92.7959	-28.1652	-47.7656	-20.9169	-40.0002	0	0	0	0	0
-66.0433	28.5966	102.085	-31.9688	0	-21.6504	29.5948	-14.3915	-26.2226	0	0	0	0	0
23.1021	-6.30023	-31.9688	113.113	0	29.5948	-58.0224	-20.7281	-48.7904	0	0	0	0	0
51.4982	-92.7959	0	0	313.139	-5.16046	93.0945	0	0	-135.995	-27.4515	-126.365	0	0
74.8064	-28.1652	-21.6504	29.5948	-5.16046	1140.05	255.937	-377.422	-40.3085	37.1142	-340.016	-99.6856	-338.877	-122.958
-28.1652	-47.7656	29.5948	-58.0224	93.0945	255.937	928.863	-40.3085	-167.644	-57.6811	-99.6856	-439.727	-122.958	-234.482
-111.1	-20.9169	-14.3915	-20.7281	0	-377.422	-40.3085	334.96	27.8994	0	80.6356	51.5296	87.3181	2.5245
-20.9169	-40.0002	-26.2226	-48.7904	0	-40.3085	-167.644	27.8994	203.866	0	51.5296	47.6685	8.01901	4.9005
0	0	0	0	-135.995	37.1142	-57.6811	0	0	142.409	-16.5185	51.2671	0	0
0	0	0	0	-27.4515	-340.016	-99.6856	80.6356	51.5296	-16.5185	311.289	63.6141	4.6035	28.512
0	0	0	0	-126.365	-99.6856	-439.727	51.5296	47.6685	51.2671	63.6141	407.607	23.0175	59.5486
0	0	0	0	0	-338.877	-122.958	87.3181	8.01901	0	4.6035	23.0175	246.956	91.9216
0	0	0	0	0	-122.958	-234.482	2.5245	4.9005	0	28.512	59.5486	91.9216	170.033
