   1.0680e+02   8.0981e+00   8.0981e+00   2.1836e+01
   1.0360e+02  -9.6596e-01  -9.6596e-01   2.4046e+01
   9.9597e+01   7.4545e+00   7.4545e+00  -3.2275e+00
   9.8727e+01  -5.7816e-01  -5.7816e-01   5.8283e+00
   9.9102e+01  -4.0941e-01  -4.0941e-01  -7.6176e-02
   9.8642e+01  -4.3751e-01  -4.3751e-01  -9.3473e-02
   9.8955e+01  -5.7255e-01  -5.7255e-01  -3.5236e-01
   9.8027e+01  -7.1592e-01  -7.1592e-01  -5.3929e-01
   1.0285e+02  -3.7452e+00  -3.7452e+00   2.5222e+01
   1.0264e+02  -7.3957e+00  -7.3957e+00   2.4037e+01
   9.5391e+01  -1.8182e+00  -1.8182e+00   6.1196e-01
   9.2975e+01  -6.4789e+00  -6.4789e+00  -8.0844e+00
   1.2027e+02   3.0071e+00   3.0071e+00  -7.4672e-01
   9.5842e+01   1.6961e+00   1.6961e+00  -2.6310e+00
   9.9400e+01   1.3130e-01   1.3130e-01  -3.7731e-01
   9.5447e+01   5.9187e-01   5.9187e-01  -1.4406e+00
