   0.5012   0.1135  -0.0082  -0.0510
   0.4819  -0.0069  -0.0056  -0.0352
   0.5028   0.1234  -0.0265  -0.1655
   0.4849   0.0115  -0.0191  -0.1189
   0.4956   0.0234  -0.0287  -0.1490
   0.4934   0.0220  -0.0277  -0.1484
   0.4953   0.0232  -0.0306  -0.1502
   0.4909   0.0206  -0.0299  -0.1497
   0.4764  -0.0491   0.0004  -0.0282
   0.4772  -0.0967   0.0005  -0.0338
   0.4760  -0.0258   0.0022  -0.1400
   0.4770  -0.0871   0.0028  -0.1799
   0.6025  -0.0228   0.0619  -0.1841
   0.4832   0.0263  -0.0042  -0.1569
   0.4976   0.0203  -0.0186  -0.1510
   0.4794   0.0278  -0.0201  -0.1504
