 9  4  0  3  0   2   1  1 
 1  168.00000  168.00000  1.000000 
1  0.000000 
1  0.1  0.000000 
2  0.1    0.0250000 
3  0.1       0.0500000 
4  0.05       0.0 
5  0.05       0.025 
6  0.05      0.05 
7   0.0     0.0
8   0.0     0.025
9   0.0     0.05
1 4 1   2   5 1  1 
2 5 2   3   6 1  1 
3 8 5   6   9 1  1 
4   7   4   5   8   1   1
1 1 80.000000
2 1 80.000000
3 1 80.0
2 3  50.000000 20.000000
3 3  50.000000 20.000000
