   0.0482  -0.1836
   0.0482  -0.1773
   0.0418  -0.1836
   0.0418  -0.1773
   0.0104  -0.2103
   0.0106  -0.2103
   0.0104  -0.2101
   0.0106  -0.2101
   0.1252  -0.0811
   0.1508  -0.0811
   0.1252  -0.0555
   0.1508  -0.0555
   0.1014  -0.1345
   0.0623  -0.1346
   0.1014  -0.1735
   0.0624  -0.1735
   0.0331  -0.1093
   0.0251  -0.1093
   0.0332  -0.1173
   0.0251  -0.1173
   0.0376  -0.0401
   0.0376  -0.0445
   0.0420  -0.0401
   0.0420  -0.0445
   0.0100  -0.1893
   0.0100  -0.1896
   0.0103  -0.1893
   0.0103  -0.1896
   0.0321  -0.2097
   0.0329  -0.2097
   0.0321  -0.2089
   0.0329  -0.2089
   0.0160  -0.1564
   0.0160  -0.1610
   0.0206  -0.1564
   0.0206  -0.1610
   0.0311  -0.1885
   0.0311  -0.1867
   0.0292  -0.1885
   0.0292  -0.1867
   0.0549  -0.2042
   0.0670  -0.2042
   0.0549  -0.1921
   0.0670  -0.1921
   0.0455  -0.1723
   0.0455  -0.1653
   0.0385  -0.1723
   0.0385  -0.1653
