  0.50122484   0.11345207  -0.00817690  -0.05101396 
  0.48193072  -0.00691990  -0.00563756  -0.03517153 
  0.50282601   0.12344142  -0.02653284  -0.16553284 
  0.48489120   0.01154992  -0.01906599  -0.11894873 
  0.49562246   0.02338103  -0.02870334  -0.14903334 
  0.49335142   0.02201434  -0.02770198  -0.14843073 
  0.49530591   0.02319053  -0.03063371  -0.15019502 
  0.49094450   0.02056588  -0.02987283  -0.14973713 
  0.47640419  -0.04913156   0.00044409  -0.02816052 
  0.47715398  -0.09667731   0.00053267  -0.03377787 
  0.47603696  -0.02584477   0.00220820  -0.14002668 
  0.47700235  -0.08706259   0.00283675  -0.17988466 
  0.60245535  -0.02284364   0.06193577  -0.18413417 
  0.48315577   0.02625026  -0.00420041  -0.15691796 
  0.49756786   0.02031943  -0.01861250  -0.15098713 
  0.47939829   0.02779654  -0.02010228  -0.15037405 
